cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,date
39,12.76,1.99,0.371,2014-02-13
97,7.27,1.26,0.366,2014-02-14
96,8.02,1.14,0.378,2014-02-15
63,7.61,1.09,0.39,2014-02-16
13,14.05,2.08,0.375,2014-02-17
1,14.13,2.25,0.366,2014-02-18
27,14.34,2.24,0.359,2014-02-19
11,14.93,2.49,0.354,2014-02-20
90,12.99,2.17,0.348,2014-02-21
97,11.51,1.87,0.344,2014-02-22
67,13.38,2.04,0.341,2014-02-23
98,10.0,1.56,0.358,2014-02-24
100,2.06,0.37,0.395,2014-02-25
100,5.36,0.75,0.402,2014-02-26
96,7.19,0.95,0.392,2014-02-27
76,11.36,1.59,0.389,2014-02-28
74,15.44,2.31,0.384,2014-03-01
80,13.73,2.47,0.38,2014-03-02
99,10.15,1.71,0.375,2014-03-03
86,9.86,1.57,0.381,2014-03-04
61,15.88,2.67,0.383,2014-03-05
85,11.85,1.76,0.385,2014-03-06
86,15.22,2.32,0.38,2014-03-07
97,7.94,1.3,0.376,2014-03-08
100,3.6,0.63,0.385,2014-03-09
100,3.25,0.59,0.414,2014-03-10
100,3.02,0.44,0.424,2014-03-11
91,12.0,1.43,0.417,2014-03-12
75,13.81,1.49,0.419,2014-03-13
17,18.38,2.32,0.413,2014-03-14
0,19.38,2.94,0.409,2014-03-15
68,7.42,1.24,0.409,2014-03-16
56,11.55,1.61,0.417,2014-03-17
21,15.47,2.26,0.405,2014-03-18
2,19.68,3.15,0.394,2014-03-19
54,7.5,1.08,0.397,2014-03-20
28,19.27,2.91,0.39,2014-03-21
0,20.83,3.38,0.379,2014-03-22
7,18.92,3.27,0.37,2014-03-23
34,20.2,3.49,0.363,2014-03-24
96,19.14,3.52,0.355,2014-03-25
61,13.35,2.06,0.362,2014-03-26
80,14.65,2.32,0.373,2014-03-27
76,13.56,2.37,0.38,2014-03-28
84,6.22,0.86,0.411,2014-03-29
40,15.96,1.86,0.399,2014-03-30
0,22.54,3.22,0.389,2014-03-31
13,22.75,3.48,0.38,2014-04-01
40,18.59,2.67,0.382,2014-04-02
40,20.52,2.98,0.38,2014-04-03
47,21.41,3.58,0.368,2014-04-04
82,17.09,3.09,0.359,2014-04-05
88,15.8,2.82,0.365,2014-04-06
89,14.36,2.48,0.383,2014-04-07
92,11.67,1.76,0.417,2014-04-08
19,23.32,3.55,0.395,2014-04-09
14,23.13,3.87,0.38,2014-04-10
57,17.94,3.14,0.383,2014-04-11
76,14.8,2.2,0.413,2014-04-12
73,19.19,2.91,0.404,2014-04-13
69,19.18,2.91,0.389,2014-04-14
13,21.63,3.54,0.38,2014-04-15
50,22.29,4.01,0.372,2014-04-16
78,21.29,4.01,0.361,2014-04-17
38,20.51,3.86,0.355,2014-04-18
62,20.73,3.67,0.356,2014-04-19
64,21.15,3.54,0.355,2014-04-20
55,21.43,3.44,0.353,2014-04-21
16,22.59,4.0,0.348,2014-04-22
58,21.96,3.86,0.338,2014-04-23
73,20.37,4.01,0.331,2014-04-24
88,18.36,3.55,0.336,2014-04-25
79,15.91,2.66,0.379,2014-04-26
90,17.37,3.1,0.378,2014-04-27
90,14.35,2.43,0.404,2014-04-28
71,15.07,2.37,0.418,2014-04-29
84,17.61,2.98,0.413,2014-04-30
79,14.14,2.3,0.422,2014-05-01
81,14.55,2.37,0.419,2014-05-02
63,21.39,3.62,0.404,2014-05-03
95,13.94,2.7,0.395,2014-05-04
99,7.5,1.44,0.42,2014-05-05
98,7.75,1.29,0.421,2014-05-06
69,15.88,2.73,0.407,2014-05-07
92,22.48,3.84,0.394,2014-05-08
83,20.53,3.77,0.404,2014-05-09
85,15.91,2.86,0.402,2014-05-10
80,13.06,2.25,0.409,2014-05-11
53,21.24,3.63,0.403,2014-05-12
88,15.57,2.76,0.4,2014-05-13
86,24.39,4.6,0.392,2014-05-14
35,23.25,4.66,0.378,2014-05-15
28,24.85,4.59,0.368,2014-05-16
86,15.08,2.68,0.361,2014-05-17
53,22.83,3.73,0.379,2014-05-18
20,26.12,4.36,0.36,2014-05-19
2,28.93,5.09,0.346,2014-05-20
64,20.0,3.4,0.339,2014-05-21
95,14.35,2.53,0.363,2014-05-22
54,21.39,3.82,0.373,2014-05-23
89,12.54,2.24,0.367,2014-05-24
71,21.61,3.78,0.376,2014-05-25
50,26.56,4.8,0.358,2014-05-26
8,27.42,5.14,0.343,2014-05-27
26,25.74,4.87,0.332,2014-05-28
40,24.67,4.81,0.324,2014-05-29
60,20.46,3.91,0.367,2014-05-30
52,19.8,3.39,0.397,2014-05-31
89,14.55,2.47,0.401,2014-06-01
92,12.06,2.07,0.411,2014-06-02
75,16.15,2.84,0.413,2014-06-03
84,20.71,4.23,0.393,2014-06-04
70,17.15,3.15,0.391,2014-06-05
97,12.61,2.27,0.427,2014-06-06
95,13.08,2.44,0.42,2014-06-07
94,16.32,2.92,0.415,2014-06-08
73,23.25,4.26,0.41,2014-06-09
46,27.0,5.06,0.397,2014-06-10
74,22.58,4.14,0.388,2014-06-11
88,17.35,2.94,0.398,2014-06-12
59,24.81,4.48,0.387,2014-06-13
2,28.15,5.33,0.369,2014-06-14
40,25.66,4.93,0.357,2014-06-15
81,19.65,3.7,0.362,2014-06-16
65,24.85,4.76,0.363,2014-06-17
25,25.99,5.0,0.349,2014-06-18
32,25.9,5.1,0.341,2014-06-19
49,21.51,3.85,0.365,2014-06-20
48,22.76,4.02,0.377,2014-06-21
44,20.34,3.43,0.369,2014-06-22
13,28.05,4.94,0.358,2014-06-23
11,29.92,5.46,0.341,2014-06-24
12,29.33,5.59,0.326,2014-06-25
3,28.29,5.98,0.312,2014-06-26
38,25.79,5.56,0.305,2014-06-27
78,20.54,3.93,0.312,2014-06-28
71,24.62,4.8,0.305,2014-06-29
19,29.79,5.9,0.291,2014-06-30
32,25.08,4.98,0.276,2014-07-01
62,26.05,4.98,0.267,2014-07-02
76,23.33,4.52,0.26,2014-07-03
81,17.48,3.22,0.286,2014-07-04
61,21.09,3.78,0.352,2014-07-05
42,28.3,5.32,0.333,2014-07-06
23,28.94,5.58,0.304,2014-07-07
30,28.5,5.42,0.284,2014-07-08
27,28.88,5.63,0.268,2014-07-09
3,27.8,5.79,0.252,2014-07-10
11,28.11,6.36,0.239,2014-07-11
9,27.32,5.67,0.228,2014-07-12
45,20.73,3.93,0.227,2014-07-13
51,23.34,4.59,0.238,2014-07-14
41,25.34,5.25,0.232,2014-07-15
61,21.77,4.6,0.222,2014-07-16
69,18.62,3.79,0.216,2014-07-17
56,22.93,4.59,0.209,2014-07-18
60,21.84,4.33,0.203,2014-07-19
85,15.42,2.88,0.224,2014-07-20
72,14.25,2.75,0.285,2014-07-21
32,26.21,5.29,0.275,2014-07-22
15,25.73,5.54,0.251,2014-07-23
72,18.39,3.77,0.247,2014-07-24
64,20.7,4.11,0.288,2014-07-25
50,23.4,4.64,0.275,2014-07-26
60,21.81,4.31,0.273,2014-07-27
47,24.46,5.15,0.271,2014-07-28
21,26.47,5.6,0.249,2014-07-29
49,24.4,5.01,0.231,2014-07-30
38,26.37,5.35,0.216,2014-07-31
9,26.28,5.77,0.202,2014-08-01
52,20.59,4.66,0.197,2014-08-02
86,17.34,3.58,0.216,2014-08-03
77,17.31,3.5,0.23,2014-08-04
75,20.33,3.97,0.26,2014-08-05
21,26.31,5.41,0.279,2014-08-06
56,20.41,4.49,0.254,2014-08-07
81,17.03,3.44,0.272,2014-08-08
92,14.99,2.93,0.32,2014-08-09
55,22.05,4.42,0.324,2014-08-10
10,26.08,5.31,0.289,2014-08-11
32,24.99,5.12,0.262,2014-08-12
21,26.26,5.39,0.242,2014-08-13
0,26.38,5.6,0.223,2014-08-14
2,24.97,5.37,0.207,2014-08-15
27,26.02,5.43,0.194,2014-08-16
14,25.32,5.33,0.183,2014-08-17
80,11.58,2.39,0.184,2014-08-18
95,10.13,2.09,0.214,2014-08-19
53,19.38,3.91,0.219,2014-08-20
43,21.44,4.41,0.209,2014-08-21
31,23.68,4.82,0.196,2014-08-22
4,24.45,5.06,0.184,2014-08-23
2,23.82,5.13,0.174,2014-08-24
18,22.27,4.66,0.165,2014-08-25
38,21.65,4.57,0.159,2014-08-26
32,19.65,4.21,0.153,2014-08-27
52,19.79,4.16,0.149,2014-08-28
92,12.87,2.73,0.154,2014-08-29
48,19.81,4.18,0.154,2014-08-30
16,21.45,4.62,0.149,2014-08-31
30,20.4,4.46,0.146,2014-09-01
50,19.84,4.36,0.146,2014-09-02
48,19.11,4.15,0.148,2014-09-03
24,19.16,4.07,0.15,2014-09-04
42,18.31,3.98,0.149,2014-09-05
64,16.73,3.64,0.146,2014-09-06
72,13.37,2.72,0.159,2014-09-07
74,14.36,2.84,0.171,2014-09-08
58,15.45,3.04,0.18,2014-09-09
67,16.77,3.48,0.18,2014-09-10
21,17.91,3.59,0.192,2014-09-11
20,17.67,3.62,0.184,2014-09-12
41,18.22,3.66,0.179,2014-09-13
46,17.47,3.43,0.178,2014-09-14
50,17.12,3.39,0.176,2014-09-15
59,16.05,3.07,0.181,2014-09-16
80,10.96,2.12,0.224,2014-09-17
99,7.91,1.44,0.357,2014-09-18
97,7.39,1.33,0.35,2014-09-19
71,9.89,1.77,0.34,2014-09-20
59,18.59,3.23,0.31,2014-09-21
22,17.9,3.26,0.286,2014-09-22
77,8.49,1.84,0.289,2014-09-23
71,11.19,1.96,0.354,2014-09-24
55,12.98,2.23,0.32,2014-09-25
59,18.21,3.12,0.3,2014-09-26
89,10.66,2.02,0.309,2014-09-27
99,1.6,0.44,0.421,2014-09-28
69,11.71,2.05,0.401,2014-09-29
42,16.86,2.72,0.378,2014-09-30
4,17.68,2.95,0.36,2014-10-01
19,16.08,2.74,0.347,2014-10-02
38,15.65,2.62,0.337,2014-10-03
64,13.89,2.34,0.329,2014-10-04
60,14.25,2.44,0.321,2014-10-05
89,9.15,1.66,0.35,2014-10-06
51,15.08,2.66,0.34,2014-10-07
76,14.03,2.5,0.326,2014-10-08
85,10.59,1.92,0.322,2014-10-09
43,15.36,2.68,0.314,2014-10-10
66,14.86,2.58,0.305,2014-10-11
95,7.69,1.45,0.308,2014-10-12
96,8.68,1.48,0.344,2014-10-13
93,9.34,1.62,0.351,2014-10-14
54,11.78,2.05,0.339,2014-10-15
57,10.59,2.0,0.328,2014-10-16
90,7.23,1.29,0.394,2014-10-17
91,5.33,0.93,0.419,2014-10-18
66,8.04,1.2,0.412,2014-10-19
25,14.33,2.04,0.389,2014-10-20
6,14.36,2.3,0.375,2014-10-21
13,14.23,2.44,0.363,2014-10-22
66,12.21,2.34,0.355,2014-10-23
87,3.95,0.71,0.376,2014-10-24
95,6.89,1.16,0.389,2014-10-25
75,8.83,1.38,0.402,2014-10-26
81,10.26,1.66,0.408,2014-10-27
100,4.22,0.8,0.406,2014-10-28
98,8.99,1.48,0.39,2014-10-29
98,6.93,1.17,0.398,2014-10-30
100,0.86,0.29,0.425,2014-10-31
94,5.54,0.82,0.419,2014-11-01
90,4.01,0.6,0.415,2014-11-02
53,8.86,1.13,0.404,2014-11-03
1,12.06,1.64,0.392,2014-11-04
0,12.32,1.75,0.384,2014-11-05
2,11.94,1.7,0.377,2014-11-06
17,11.51,1.75,0.372,2014-11-07
92,10.5,1.74,0.367,2014-11-08
55,9.33,1.59,0.364,2014-11-09
39,9.52,1.5,0.363,2014-11-10
25,9.88,1.52,0.36,2014-11-11
31,10.52,1.61,0.356,2014-11-12
96,8.88,1.41,0.353,2014-11-13
79,8.88,1.44,0.351,2014-11-14
85,7.5,1.24,0.363,2014-11-15
95,3.54,0.63,0.368,2014-11-16
77,9.06,1.31,0.361,2014-11-17
78,6.29,1.02,0.356,2014-11-18
99,7.69,1.26,0.353,2014-11-19
99,3.79,0.72,0.368,2014-11-20
100,3.49,0.6,0.41,2014-11-21
100,1.87,0.33,0.419,2014-11-22
99,2.27,0.41,0.418,2014-11-23
88,4.95,0.71,0.408,2014-11-24
93,3.94,0.57,0.398,2014-11-25
100,2.14,0.36,0.407,2014-11-26
88,4.41,0.61,0.408,2014-11-27
64,4.55,0.62,0.396,2014-11-28
72,3.97,0.64,0.39,2014-11-29
97,0.91,0.26,0.406,2014-11-30
98,1.13,0.23,0.417,2014-12-01
98,5.01,0.71,0.417,2014-12-02
72,5.98,0.94,0.409,2014-12-03
97,3.18,0.53,0.402,2014-12-04
91,3.46,0.57,0.409,2014-12-05
76,5.98,0.87,0.399,2014-12-06
64,7.24,1.05,0.394,2014-12-07
91,5.1,0.8,0.405,2014-12-08
94,5.09,0.89,0.396,2014-12-09
78,7.09,1.06,0.401,2014-12-10
98,7.23,0.98,0.401,2014-12-11
100,1.75,0.36,0.404,2014-12-12
99,1.99,0.35,0.412,2014-12-13
51,6.78,0.89,0.4,2014-12-14
14,8.23,1.04,0.393,2014-12-15
44,7.75,1.05,0.388,2014-12-16
82,3.81,0.67,0.384,2014-12-17
81,3.86,0.56,0.396,2014-12-18
91,2.96,0.46,0.408,2014-12-19
50,7.82,0.93,0.397,2014-12-20
70,7.34,0.98,0.394,2014-12-21
79,5.51,0.5,0.409,2014-12-22
69,4.59,0.61,0.404,2014-12-23
1,8.38,1.22,0.405,2014-12-24
0,8.76,1.0,0.404,2014-12-25
73,7.6,0.96,0.402,2014-12-26
70,6.96,0.97,0.411,2014-12-27
91,7.74,0.8,0.416,2014-12-28
98,4.09,0.77,0.417,2014-12-29
100,1.5,0.25,0.414,2014-12-30
99,3.54,0.39,0.404,2014-12-31
98,3.89,0.44,0.4,2015-01-01
89,4.15,0.45,0.395,2015-01-02
52,7.09,0.68,0.392,2015-01-03
85,8.01,0.8,0.389,2015-01-04
96,6.42,0.58,0.387,2015-01-05
99,3.24,0.34,0.384,2015-01-06
98,5.32,0.43,0.382,2015-01-07
72,5.29,0.37,0.38,2015-01-08
64,9.69,0.62,0.379,2015-01-09
97,3.72,0.4,0.377,2015-01-10
59,3.54,0.42,0.376,2015-01-11
89,4.83,0.64,0.383,2015-01-12
64,6.81,0.71,0.388,2015-01-13
12,9.43,0.97,0.382,2015-01-14
46,9.24,0.92,0.379,2015-01-15
76,6.54,0.73,0.377,2015-01-16
6,10.28,1.02,0.375,2015-01-17
33,10.55,0.97,0.374,2015-01-18
74,7.37,0.76,0.372,2015-01-19
50,9.8,1.01,0.377,2015-01-20
78,7.67,0.91,0.385,2015-01-21
13,10.53,1.13,0.392,2015-01-22
15,10.83,1.11,0.4,2015-01-23
20,10.52,1.22,0.406,2015-01-24
25,8.77,0.98,0.41,2015-01-25
42,10.23,1.25,0.412,2015-01-26
67,10.44,1.2,0.415,2015-01-27
88,8.88,1.09,0.418,2015-01-28
91,8.22,1.06,0.423,2015-01-29
53,10.78,1.33,0.419,2015-01-30
96,5.54,1.06,0.419,2015-01-31
32,11.49,2.36,0.429,2015-02-01
65,7.61,1.42,0.426,2015-02-02
67,9.55,1.11,0.426,2015-02-03
55,11.37,1.47,0.422,2015-02-04
43,10.17,1.42,0.421,2015-02-05
2,12.11,1.83,0.42,2015-02-06
72,9.32,1.34,0.421,2015-02-07
93,9.13,1.2,0.419,2015-02-08
99,6.08,0.65,0.416,2015-02-09
100,2.81,0.46,0.407,2015-02-10
100,4.09,0.46,0.401,2015-02-11
99,6.71,0.75,0.398,2015-02-12
97,8.12,0.93,0.401,2015-02-13
84,9.26,1.13,0.406,2015-02-14
91,10.65,1.36,0.412,2015-02-15
99,4.28,0.52,0.418,2015-02-16
78,10.29,0.91,0.412,2015-02-17
72,10.37,0.93,0.404,2015-02-18
99,4.55,0.52,0.399,2015-02-19
97,4.13,0.47,0.395,2015-02-20
44,13.73,1.44,0.392,2015-02-21
22,15.58,1.66,0.391,2015-02-22
93,8.34,1.19,0.399,2015-02-23
92,11.62,1.45,0.417,2015-02-24
78,10.26,1.37,0.421,2015-02-25
31,13.63,1.83,0.421,2015-02-26
74,11.9,2.0,0.422,2015-02-27
84,9.82,1.38,0.423,2015-02-28
96,8.91,1.27,0.422,2015-03-01
48,14.21,1.96,0.418,2015-03-02
68,13.09,1.89,0.416,2015-03-03
91,8.53,0.89,0.425,2015-03-04
42,17.43,2.47,0.415,2015-03-05
88,11.88,2.05,0.408,2015-03-06
28,17.02,2.61,0.401,2015-03-07
50,16.93,2.66,0.393,2015-03-08
40,17.31,2.81,0.386,2015-03-09
89,13.18,2.21,0.381,2015-03-10
100,5.34,0.74,0.39,2015-03-11
100,3.09,0.46,0.411,2015-03-12
73,9.07,1.21,0.412,2015-03-13
87,16.94,2.59,0.402,2015-03-14
97,4.46,0.69,0.414,2015-03-15
100,5.8,0.85,0.42,2015-03-16
85,12.74,1.41,0.414,2015-03-17
74,11.6,1.43,0.405,2015-03-18
99,4.83,0.66,0.401,2015-03-19
84,11.8,1.31,0.403,2015-03-20
92,13.4,1.6,0.409,2015-03-21
64,14.95,2.01,0.418,2015-03-22
98,12.73,2.01,0.41,2015-03-23
65,12.02,1.64,0.407,2015-03-24
20,21.73,3.27,0.398,2015-03-25
74,20.36,3.35,0.388,2015-03-26
92,16.3,3.03,0.386,2015-03-27
83,7.74,1.35,0.416,2015-03-28
84,14.49,2.31,0.417,2015-03-29
92,9.74,1.55,0.417,2015-03-30
72,14.9,2.29,0.411,2015-03-31
59,18.19,2.98,0.404,2015-04-01
78,6.54,0.79,0.418,2015-04-02
44,21.93,3.16,0.409,2015-04-03
59,17.06,1.89,0.405,2015-04-04
79,14.75,2.29,0.403,2015-04-05
33,22.62,3.79,0.394,2015-04-06
90,10.97,1.46,0.405,2015-04-07
96,14.11,1.74,0.406,2015-04-08
96,8.57,1.0,0.411,2015-04-09
71,19.47,2.01,0.419,2015-04-10
32,20.29,2.31,0.419,2015-04-11
19,22.96,3.15,0.416,2015-04-12
4,23.89,3.53,0.41,2015-04-13
42,22.92,3.69,0.402,2015-04-14
69,20.66,3.1,0.404,2015-04-15
37,24.26,3.9,0.388,2015-04-16
22,23.44,4.07,0.378,2015-04-17
34,21.54,3.74,0.374,2015-04-18
62,13.73,2.18,0.381,2015-04-19
51,21.82,2.97,0.38,2015-04-20
80,12.57,1.58,0.389,2015-04-21
93,16.95,2.06,0.397,2015-04-22
73,20.37,2.38,0.406,2015-04-23
20,26.47,3.8,0.401,2015-04-24
43,24.97,4.28,0.39,2015-04-25
65,19.02,3.14,0.393,2015-04-26
20,24.49,4.05,0.389,2015-04-27
43,24.89,4.71,0.374,2015-04-28
60,21.47,3.83,0.377,2015-04-29
76,16.96,2.61,0.394,2015-04-30
77,18.64,3.05,0.383,2015-05-01
82,23.34,4.12,0.37,2015-05-02
95,8.33,1.42,0.399,2015-05-03
60,17.37,2.8,0.401,2015-05-04
31,24.96,4.3,0.383,2015-05-05
31,25.03,4.32,0.37,2015-05-06
49,26.6,4.82,0.358,2015-05-07
93,8.65,1.67,0.392,2015-05-08
53,24.75,4.07,0.378,2015-05-09
58,23.96,3.84,0.363,2015-05-10
42,25.23,4.18,0.353,2015-05-11
33,25.97,4.26,0.342,2015-05-12
35,24.28,4.0,0.333,2015-05-13
8,27.77,4.79,0.324,2015-05-14
26,26.87,4.93,0.314,2015-05-15
28,26.42,5.23,0.304,2015-05-16
45,27.29,5.18,0.293,2015-05-17
19,27.27,5.43,0.283,2015-05-18
17,27.08,5.61,0.274,2015-05-19
28,25.23,5.49,0.267,2015-05-20
85,15.9,3.01,0.269,2015-05-21
75,21.03,3.98,0.276,2015-05-22
62,26.15,4.97,0.267,2015-05-23
36,25.46,5.22,0.257,2015-05-24
83,19.88,3.98,0.259,2015-05-25
63,23.78,4.43,0.265,2015-05-26
84,12.44,2.38,0.292,2015-05-27
98,10.56,1.92,0.395,2015-05-28
99,11.81,2.04,0.381,2015-05-29
99,9.68,1.67,0.393,2015-05-30
76,17.98,3.02,0.393,2015-05-31
62,22.46,3.93,0.38,2015-06-01
71,26.01,4.84,0.366,2015-06-02
89,17.1,3.21,0.37,2015-06-03
88,17.92,3.17,0.393,2015-06-04
99,6.56,1.32,0.424,2015-06-05
96,15.92,2.91,0.415,2015-06-06
90,19.17,3.6,0.412,2015-06-07
95,17.45,3.35,0.404,2015-06-08
90,17.1,3.1,0.413,2015-06-09
81,19.98,3.59,0.405,2015-06-10
92,18.25,3.26,0.405,2015-06-11
99,15.98,2.9,0.407,2015-06-12
84,20.89,3.79,0.409,2015-06-13
89,20.15,3.64,0.412,2015-06-14
37,25.82,4.81,0.399,2015-06-15
30,27.8,5.27,0.385,2015-06-16
75,17.46,3.17,0.407,2015-06-17
70,22.03,4.13,0.399,2015-06-18
84,17.32,3.2,0.403,2015-06-19
88,13.36,2.38,0.415,2015-06-20
56,24.04,4.43,0.399,2015-06-21
84,17.93,3.41,0.385,2015-06-22
95,15.52,2.88,0.401,2015-06-23
91,12.82,2.33,0.424,2015-06-24
63,22.67,4.01,0.408,2015-06-25
75,16.0,2.88,0.405,2015-06-26
87,21.23,3.82,0.402,2015-06-27
94,9.15,1.71,0.423,2015-06-28
55,24.67,4.47,0.407,2015-06-29
54,22.36,4.06,0.393,2015-06-30
45,22.58,4.24,0.381,2015-07-01
74,15.87,2.89,0.377,2015-07-02
77,18.79,3.33,0.381,2015-07-03
69,18.01,3.4,0.376,2015-07-04
94,17.5,3.35,0.368,2015-07-05
75,17.72,3.39,0.375,2015-07-06
53,22.12,4.22,0.364,2015-07-07
22,29.01,5.74,0.349,2015-07-08
9,28.13,5.69,0.336,2015-07-09
50,23.94,4.66,0.333,2015-07-10
87,16.18,3.06,0.346,2015-07-11
58,22.75,4.26,0.358,2015-07-12
44,26.04,4.84,0.34,2015-07-13
16,28.14,5.35,0.323,2015-07-14
64,20.47,3.87,0.314,2015-07-15
50,27.51,5.19,0.307,2015-07-16
42,26.15,4.98,0.295,2015-07-17
18,29.38,5.7,0.283,2015-07-18
0,29.22,5.7,0.271,2015-07-19
1,29.07,5.79,0.26,2015-07-20
39,27.58,5.41,0.251,2015-07-21
33,27.49,5.49,0.241,2015-07-22
19,28.39,5.87,0.232,2015-07-23
24,26.66,5.67,0.222,2015-07-24
47,22.87,4.71,0.215,2015-07-25
20,26.16,5.43,0.208,2015-07-26
9,27.54,5.83,0.199,2015-07-27
1,27.65,5.88,0.191,2015-07-28
0,27.76,6.08,0.183,2015-07-29
2,27.54,6.28,0.175,2015-07-30
18,25.75,5.59,0.168,2015-07-31
60,19.35,4.14,0.166,2015-08-01
44,23.62,5.05,0.167,2015-08-02
34,24.79,5.07,0.168,2015-08-03
25,24.57,5.11,0.167,2015-08-04
61,19.52,4.09,0.171,2015-08-05
61,22.33,4.69,0.182,2015-08-06
90,21.75,5.01,0.178,2015-08-07
21,25.29,5.46,0.17,2015-08-08
26,24.65,5.33,0.164,2015-08-09
35,21.72,4.61,0.162,2015-08-10
81,17.04,3.61,0.169,2015-08-11
50,21.68,4.56,0.181,2015-08-12
19,23.86,5.04,0.175,2015-08-13
32,24.16,5.1,0.166,2015-08-14
39,22.89,4.94,0.158,2015-08-15
60,20.77,4.35,0.155,2015-08-16
15,22.35,4.81,0.154,2015-08-17
18,22.86,5.0,0.148,2015-08-18
32,22.31,4.7,0.145,2015-08-19
19,23.03,4.93,0.143,2015-08-20
41,18.65,3.89,0.146,2015-08-21
72,16.83,3.56,0.161,2015-08-22
89,5.9,1.26,0.269,2015-08-23
63,18.33,3.48,0.316,2015-08-24
42,19.56,3.85,0.286,2015-08-25
22,21.39,4.15,0.263,2015-08-26
9,24.15,4.71,0.243,2015-08-27
12,24.51,4.92,0.225,2015-08-28
3,23.28,4.85,0.209,2015-08-29
0,23.82,4.91,0.196,2015-08-30
1,23.46,4.81,0.185,2015-08-31
0,23.68,5.16,0.175,2015-09-01
0,23.63,5.28,0.165,2015-09-02
2,23.01,5.07,0.157,2015-09-03
1,22.36,4.73,0.15,2015-09-04
1,22.46,4.72,0.146,2015-09-05
4,22.44,4.98,0.141,2015-09-06
26,19.36,4.19,0.138,2015-09-07
85,8.94,1.88,0.158,2015-09-08
96,9.35,2.08,0.204,2015-09-09
46,19.5,4.14,0.199,2015-09-10
14,19.86,4.41,0.187,2015-09-11
56,13.65,2.87,0.226,2015-09-12
90,8.31,1.62,0.349,2015-09-13
81,14.68,2.92,0.313,2015-09-14
85,13.97,2.81,0.284,2015-09-15
60,16.36,3.28,0.266,2015-09-16
47,19.3,3.79,0.249,2015-09-17
75,18.17,3.54,0.236,2015-09-18
54,18.28,3.64,0.224,2015-09-19
65,16.93,3.5,0.214,2015-09-20
76,10.25,2.17,0.21,2015-09-21
61,15.25,3.11,0.208,2015-09-22
54,14.04,3.34,0.203,2015-09-23
23,15.14,3.12,0.198,2015-09-24
19,16.35,3.21,0.195,2015-09-25
27,17.02,3.46,0.19,2015-09-26
56,15.45,3.22,0.185,2015-09-27
88,14.21,3.06,0.182,2015-09-28
96,8.49,1.78,0.185,2015-09-29
96,4.19,0.91,0.296,2015-09-30
97,6.78,1.27,0.372,2015-10-01
80,10.14,1.83,0.347,2015-10-02
69,12.45,2.25,0.33,2015-10-03
48,15.58,2.84,0.316,2015-10-04
58,13.3,2.52,0.303,2015-10-05
100,7.07,1.36,0.334,2015-10-06
97,4.09,0.78,0.408,2015-10-07
77,12.12,2.12,0.387,2015-10-08
82,10.32,1.75,0.373,2015-10-09
35,13.83,2.37,0.359,2015-10-10
93,9.14,1.88,0.358,2015-10-11
88,10.81,2.0,0.375,2015-10-12
98,4.97,0.9,0.38,2015-10-13
96,4.11,0.86,0.373,2015-10-14
61,11.7,1.98,0.36,2015-10-15
77,14.25,2.45,0.347,2015-10-16
70,11.07,2.04,0.338,2015-10-17
95,9.28,1.74,0.333,2015-10-18
98,8.55,1.61,0.329,2015-10-19
48,13.91,2.44,0.322,2015-10-20
57,10.96,2.05,0.324,2015-10-21
97,7.86,1.44,0.379,2015-10-22
98,9.33,1.7,0.373,2015-10-23
99,1.89,0.43,0.401,2015-10-24
81,8.35,1.32,0.404,2015-10-25
75,10.49,1.62,0.381,2015-10-26
89,7.24,1.14,0.376,2015-10-27
71,7.57,1.18,0.376,2015-10-28
48,11.91,1.75,0.362,2015-10-29
23,12.25,1.8,0.352,2015-10-30
61,9.05,1.45,0.349,2015-10-31
14,12.68,1.75,0.342,2015-11-01
16,12.32,1.73,0.336,2015-11-02
11,12.39,1.81,0.33,2015-11-03
1,12.11,1.84,0.325,2015-11-04
0,11.71,1.82,0.32,2015-11-05
26,11.14,1.69,0.316,2015-11-06
95,5.98,0.98,0.319,2015-11-07
95,5.45,0.86,0.326,2015-11-08
97,2.09,0.45,0.366,2015-11-09
87,5.39,0.83,0.404,2015-11-10
99,1.33,0.39,0.393,2015-11-11
68,6.41,0.99,0.385,2015-11-12
62,6.41,1.06,0.376,2015-11-13
35,10.5,1.6,0.367,2015-11-14
87,5.27,0.8,0.368,2015-11-15
87,7.87,1.36,0.366,2015-11-16
64,7.83,1.04,0.368,2015-11-17
47,8.84,1.2,0.358,2015-11-18
41,6.81,1.01,0.357,2015-11-19
22,10.09,1.46,0.354,2015-11-20
51,9.66,1.76,0.347,2015-11-21
13,9.53,1.68,0.341,2015-11-22
44,7.83,1.29,0.337,2015-11-23
76,8.65,1.37,0.334,2015-11-24
81,4.99,0.95,0.331,2015-11-25
68,4.82,1.03,0.336,2015-11-26
53,7.8,1.17,0.346,2015-11-27
64,6.53,1.21,0.341,2015-11-28
91,5.38,0.78,0.372,2015-11-29
96,4.03,0.5,0.401,2015-11-30
76,6.38,0.97,0.383,2015-12-01
93,3.33,0.41,0.402,2015-12-02
82,7.27,0.66,0.391,2015-12-03
73,6.35,0.6,0.385,2015-12-04
36,8.76,0.87,0.38,2015-12-05
59,8.5,1.01,0.38,2015-12-06
7,8.57,1.08,0.389,2015-12-07
26,8.15,1.03,0.396,2015-12-08
