cloud_cover_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,date
2,18.03,3.82,0.201,2012-09-27
23,18.11,3.77,0.19,2012-09-28
16,17.97,3.71,0.18,2012-09-29
0,18.04,3.82,0.172,2012-09-30
13,17.64,3.84,0.164,2012-10-01
63,15.5,3.55,0.157,2012-10-02
61,13.28,2.73,0.159,2012-10-03
66,11.58,2.18,0.184,2012-10-04
66,13.54,2.54,0.205,2012-10-05
38,15.65,2.98,0.201,2012-10-06
12,16.24,3.15,0.192,2012-10-07
57,12.39,2.47,0.192,2012-10-08
75,9.25,1.64,0.283,2012-10-09
51,13.54,2.4,0.264,2012-10-10
100,6.07,1.19,0.259,2012-10-11
45,13.17,2.3,0.269,2012-10-12
6,14.97,2.82,0.25,2012-10-13
0,14.72,2.85,0.234,2012-10-14
9,14.39,2.92,0.222,2012-10-15
4,13.96,2.78,0.211,2012-10-16
5,14.12,2.91,0.201,2012-10-17
40,13.12,2.41,0.194,2012-10-18
38,13.95,2.44,0.189,2012-10-19
57,11.45,1.97,0.185,2012-10-20
38,13.0,2.52,0.183,2012-10-21
36,13.2,2.58,0.178,2012-10-22
79,6.36,1.17,0.19,2012-10-23
85,7.04,1.24,0.212,2012-10-24
66,7.85,1.38,0.23,2012-10-25
39,11.97,1.99,0.225,2012-10-26
6,12.87,2.3,0.216,2012-10-27
84,11.76,2.69,0.208,2012-10-28
84,11.19,2.61,0.2,2012-10-29
84,8.24,1.87,0.201,2012-10-30
93,8.94,1.56,0.228,2012-10-31
24,12.15,2.22,0.22,2012-11-01
83,8.67,1.84,0.217,2012-11-02
61,7.81,1.42,0.264,2012-11-03
79,10.97,1.84,0.263,2012-11-04
44,10.86,1.91,0.249,2012-11-05
69,8.58,1.81,0.238,2012-11-06
98,3.83,0.82,0.255,2012-11-07
98,2.69,0.53,0.346,2012-11-08
94,5.05,0.92,0.315,2012-11-09
100,3.64,0.63,0.339,2012-11-10
82,5.5,0.89,0.333,2012-11-11
82,4.52,0.81,0.316,2012-11-12
57,10.13,1.52,0.3,2012-11-13
98,3.78,0.67,0.291,2012-11-14
83,8.93,1.35,0.285,2012-11-15
61,8.85,1.32,0.279,2012-11-16
85,9.28,1.41,0.273,2012-11-17
4,10.11,1.51,0.268,2012-11-18
16,9.67,1.44,0.263,2012-11-19
8,9.66,1.39,0.259,2012-11-20
15,9.27,1.31,0.255,2012-11-21
63,7.81,1.11,0.252,2012-11-22
85,5.61,0.88,0.251,2012-11-23
86,5.24,0.8,0.252,2012-11-24
80,4.91,0.75,0.263,2012-11-25
55,7.41,1.03,0.262,2012-11-26
0,9.12,1.27,0.258,2012-11-27
51,8.24,1.16,0.254,2012-11-28
63,8.42,1.44,0.25,2012-11-29
58,6.33,1.1,0.251,2012-11-30
77,6.43,1.18,0.27,2012-12-01
59,7.56,1.22,0.272,2012-12-02
54,4.17,0.69,0.298,2012-12-03
89,1.61,0.3,0.366,2012-12-04
67,8.3,0.96,0.369,2012-12-05
86,5.58,0.7,0.366,2012-12-06
95,3.38,0.46,0.391,2012-12-07
59,7.98,0.96,0.382,2012-12-08
37,8.1,1.03,0.375,2012-12-09
99,4.64,0.63,0.375,2012-12-10
72,3.52,0.48,0.409,2012-12-11
94,3.22,0.52,0.402,2012-12-12
88,3.54,0.42,0.402,2012-12-13
46,6.33,0.68,0.386,2012-12-14
32,8.32,0.91,0.378,2012-12-15
100,5.16,0.74,0.373,2012-12-16
99,3.27,0.47,0.389,2012-12-17
99,4.46,0.66,0.402,2012-12-18
84,6.04,0.82,0.395,2012-12-19
100,2.23,0.36,0.407,2012-12-20
99,2.33,0.33,0.408,2012-12-21
85,3.29,0.43,0.393,2012-12-22
98,2.29,0.31,0.391,2012-12-23
58,4.82,0.57,0.388,2012-12-24
18,6.81,0.88,0.383,2012-12-25
0,8.11,1.14,0.382,2012-12-26
70,6.93,0.99,0.378,2012-12-27
98,6.11,0.88,0.373,2012-12-28
97,4.89,0.68,0.372,2012-12-29
61,5.08,0.69,0.381,2012-12-30
9,8.35,0.99,0.368,2012-12-31
46,8.46,1.04,0.361,2013-01-01
6,8.43,1.05,0.356,2013-01-02
30,7.19,0.93,0.352,2013-01-03
92,3.71,0.51,0.354,2013-01-04
88,5.24,0.56,0.37,2013-01-05
95,6.8,0.72,0.366,2013-01-06
94,5.25,0.5,0.36,2013-01-07
92,5.44,0.47,0.355,2013-01-08
88,3.84,0.4,0.352,2013-01-09
76,7.84,0.7,0.349,2013-01-10
98,7.38,0.71,0.347,2013-01-11
95,4.34,0.51,0.379,2013-01-12
98,2.66,0.36,0.415,2013-01-13
47,9.19,1.01,0.401,2013-01-14
40,9.78,1.21,0.4,2013-01-15
