epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,4046.25,1.44618,1.18674,1.39664,0.74232,0.66888,0.73189,0.39984,1.53637,1.30335,1.35817,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942
24,1441.8,1.43552,1.17038,1.39183,0.74544,0.66768,0.73688,0.40499,1.54409,1.39504,1.35524,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942
25,4256.54,1.43025,1.1629,1.38741,0.71838,0.6822,0.7379,0.40712,1.5549,1.31941,1.35863,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
25,1647.91,1.42002,1.15637,1.38101,0.75153,0.68232,0.74809,0.41152,1.54477,1.1788,1.36141,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
26,4466.69,1.42551,1.15633,1.38453,0.74131,0.68572,0.74687,0.41465,1.54294,1.23374,1.35125,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771
26,1860.38,1.42266,1.13694,1.38026,0.75448,0.6888,0.7521,0.41303,1.5261,1.22942,1.35711,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771
27,4673.87,1.42302,1.14458,1.38028,0.75583,0.68663,0.75421,0.42128,1.53037,1.19014,1.34764,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
27,2076.4,1.41218,1.12894,1.37447,0.74136,0.68271,0.75415,0.41287,1.51809,1.18745,1.35455,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
28,4882.34,1.40981,1.12008,1.37034,0.74962,0.68259,0.75241,0.42147,1.52655,1.10256,1.34702,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
28,2294.76,1.40957,1.12026,1.36489,0.75533,0.6824,0.75368,0.41979,1.53253,1.22823,1.34665,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
29,5088.4,1.411,1.11481,1.37281,0.76103,0.68331,0.75569,0.42419,1.50998,1.08038,1.33606,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
29,2510.45,1.39383,1.09744,1.35611,0.76273,0.67989,0.75504,0.42249,1.51753,1.09381,1.33943,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
30,5295.02,1.40453,1.11153,1.3652,0.74902,0.70196,0.76223,0.42556,1.48505,1.07043,1.32544,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
30,2731.01,1.3863,1.07289,1.35577,0.76881,0.68269,0.76002,0.42567,1.52094,1.09758,1.33374,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
31,5502.07,1.39874,1.10094,1.36138,0.75808,0.69993,0.76243,0.42867,1.48482,1.06422,1.32202,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
31,2945.77,1.37491,1.07988,1.34573,0.76094,0.6908,0.76207,0.4267,1.50456,1.11927,1.33337,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
32,5710.05,1.38667,1.08482,1.34982,0.77172,0.69315,0.76566,0.43202,1.46919,1.02805,1.31654,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736
32,3160.74,1.37405,1.07031,1.34237,0.76453,0.70678,0.7667,0.42828,1.52781,1.08225,1.33882,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736
33,5924.32,1.3862,1.07394,1.34658,0.76488,0.69657,0.76761,0.43217,1.48122,1.05313,1.32453,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
